stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
g10_markaz_up,,G-10 Markaz,,33.67715055,73.01542111,,,,,,
g11_markaz_down,,G-11 Markaz,,33.66977676,72.99787954,,,,,,
g11_markaz_up,,G-11 Markaz,,33.6696951,72.99816429,,,,,,
g61_down,,"G-6/1,2",,33.71237987,73.08016275,,,,,,
g61_up,,"G-6/1,2",,33.7129049,73.08078781,,,,,,
g8_markaz_down,,G-8 Markaz,,33.69912486,73.04746434,,,,,,
g8_markaz_up,,G-8 Markaz,,33.69893057,73.04743124,,,,,,
g9_markaz_down,,G-9 Markaz,,33.68969869,73.03003559,,,,,,
g9_markaz_up,,G-9 Markaz,,33.68986808,73.0302745,,,,,,
g94_park_down,,G-9/4 Park,,33.68926726,73.03709775,,,,,,
g94_park_up,,G-9/4 Park,,33.68902948,73.03706184,,,,,,
golra_f11_down,,Golra Sharif,,33.68930156,72.98222785,,,,,,
golra_f11_up,,Golra Sharif,,33.68939565,72.98183643,,,,,,
greenbelt_gg_down,,Greenbelt G-10/G-11,,33.67291594,73.00724343,,,,,,
greenbelt_gg_up,,Greenbelt G-10/G-11,,33.67283266,73.00745474,,,,,,
g7g8_down,,G-7/ G-8,,33.69771511,73.06199399,,,,,,
g7g8_up,,G-7 / G-8,,33.69656254,73.06232281,,,,,,
gangal_down,,Gangal,,33.61230618,73.12597913,,,,,,
gangal_up,,Gangal,,33.61288497,73.12619087,,,,,,
garden_avenue_down,,Garden Avenue,,33.68521452,73.10684253,,,,,,
garden_avenue_up,,Garden Avenue,,33.68530141,73.1065224,,,,,,
golra_morh_fr9_down,,Golra Morh Chowk,,33.62503564,72.9709844,,,,,,
golra_morh_fr9_up,,Golra Morh Chowk,,33.62461576,72.97079139,,,,,,
golra_morh_station_fr_down,,Golra Morh Metro Station,,33.6414719,72.96244139,,,,,,
golra_morh_station_fr_up,,Golra Morh Metro Station,,33.64141093,72.96204681,,,,,,
green_avenue_down,,Green Avenue,,33.66795948,73.14921499,,,,,,
green_avenue_up,,Green Avenue,,33.66730581,73.15014159,,,,,,
gulberg_down,,Gulberg,,33.59765083,73.13692279,,,,,,
gulberg_up,,Gulberg,,33.59772527,73.13734954,,,,,,
hostel_city_down,,Hostel City,,33.65718114,73.15355739,,,,,,
hostel_city_up,,Hostel City,,33.65719433,73.15386886,,,,,,
ibn_sina_g94_down,,Ibn-e-Sina Road G-9,,33.69758956,73.03637417,,,,,,
ibn_sina_g94_up,,Ibn-e-Sina Road G-9,,33.69778261,73.0362464,,,,,,
ibn_station_down,,Ibn-e-Sina Metro Station,,33.69686278,73.0393243,,,,,,
ibn_station_up,,Ibn-e-Sina Metro Station,,33.69691934,73.03936631,,,,,,
icb_down,,ICB College,,33.71804943,73.09060449,,,,,,
icb_up,,ICB College,,33.71811805,73.09057312,,,,,,
imcb_f104_down,,IMCB F-10/4,,33.6909654,73.00597121,,,,,,
imcb_f104_up,,IMCB F-10/4,,33.69082443,73.0060487,,,,,,
ims_down,,Institute of Modern Studies,,33.67193103,73.00293029,,,,,,
ims_up,,Institute of Modern Studies,,33.67176007,73.00289061,,,,,,
iqbal_hall_down,,Iqbal Hall,,33.70904802,73.07496339,,,,,,
iqbal_hall_up,,Iqbal Hall,,33.70926772,73.07493847,,,,,,
ijp_station_fr_down,,IJP Metro Station,,33.65557403,73.06965844,,,,,,
ijp_station_fr_up,,IJP Metro Station,,33.65594621,73.07205135,,,,,,
iqbal_town_down,,Iqbal Town,,33.64584176,73.10156894,,,,,,
iqbal_town_up,,Iqbal Town,,33.64582366,73.10084449,,,,,,
itp_down,,ITP Centre,,33.67122971,73.092873,,,,,,
