stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
districtCourt,,District Court Stop,,33.6592671,72.9972424,,,0,,,1
akBrohiRoad,,A. K. Brohi Road Stop,,33.6623178,73.0024146,,,0,,,1
tramriChowk,,Tramri Chowk Stop,,33.6447853,73.1638663,,,0,,,1
tammaStop,,Tamma Stop,,33.6484356,73.1621404,,,0,,,1
comsatsUniversity,,COMSATS University Stop,,33.6531625,73.1576092,,,0,,,1
hostelCity,,Hostel City Stop,,33.6571943,73.1538689,,,0,,,1
gulshanAlhuda,,Gulshan Alhuda Stop,,33.6587897,73.1537427,,,0,,,1
chattaBakhtawar,,Chatta Bakhtawar Stop,,33.6642002,73.1527488,,,0,,,1
greenAvenue,,Green Avenue Stop,,33.6673058,73.1501416,,,0,,,1
parkViewKuriRoad,,Park View (Kuri Road) Stop,,33.6741388,73.1443678,,,0,,,1
shahzadTown,,Shahzad Town Stop,,33.6765639,73.1423405,,,0,,,1
nihAllergyCenter,,NIH Allergy Center Stop,,33.6851197,73.135109,,,0,,,1
narcColony,,NARC Colony Stop,,33.6875288,73.1309279,,,0,,,1
rawalDamColony,,Rawal Dam Colony Stop,,33.6881947,73.1211485,,,0,,,1
schoolBoardStop,,School Board Stop,,33.689002,73.116265,,,0,,,1
rawalTown,,Rawal Town Stop,,33.6888638,73.1128335,,,0,,,1
rawalChowk,,Rawal Chowk Stop,,33.6925938,73.1104196,,,0,,,1
kashmirChowk,,Kashmir Chowk Stop,,33.7075017,73.1063113,,,0,,,1
zeroPakMonument,,Zero Point (Pak Monument) Stop,,33.69597,73.0690285,,,0,,,1
nilore,,Nilore Stop,,33.6534563,73.2432415,,,0,,,1
azizMarket,,Aziz Market Stop,,33.6535492,73.238843,,,0,,,1
malaal,,Malaal Morh Stop,,33.6515323,73.2339274,,,0,,,1
imcgThanda,,IMCG Thanda Pani Stop,,33.6504827,73.2256665,,,0,,,1
thandaPani,,Thanda Pani Stop,,33.6477198,73.2203308,,,0,,,1
shaheenTown,,Shaheen Town Stop,,33.6460681,73.2154136,,,0,,,1
arsalanTown,,Arslan Town Stop,,33.6446217,73.2118851,,,0,,,1
jhangSayedanFr8b,,Jhang Sayedan Stop,,33.6427058,73.207299,,,0,,,1
sultana,,Sultana Foundation Stop,,33.6430874,73.2031105,,,0,,,1
farash,,Farash Town Stop,,33.6433645,73.1993724,,,0,,,1
